	city	neighborhood	price	house type	house_area	garden_area	rooms	balconies	air_condition	parking	protected_room	elevator	sun_balcony	renovated	furniture	accessibility	bars	storage
64	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	4500000.0	duplex	88.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
65	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	1650000.0	apartment	45.0	0.0	2.5	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
66	Tel Aviv Jaffa	קרית שלום	3850000.0	duplex	155.0	0.0	6.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
67	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	2950000.0	apartment	50.0	0.0	2.5	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
68	Tel Aviv Jaffa	יד אליהו	2350000.0	apartment	70.0	0.0	3.5	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
69	Tel Aviv Jaffa	אין	5500000.0	apartment	115.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
70	Tel Aviv Jaffa	הגוש הגדול	5250000.0	apartment	156.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
71	Tel Aviv Jaffa	פלורנטין	3500000.0	apartment	80.0	0.0	3.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
72	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	2400000.0	apartment	100.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
73	Tel Aviv Jaffa	הקריה	3750000.0	apartment	76.0	0.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
74	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	4680000.0	garden apartment	182.0	95.0	3.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
75	Tel Aviv Jaffa	אין	1600000.0	apartment	50.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
